name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Shantae Deshpande,HR Generalist,84,Human Resources (HR),Entry Level/Junior,0.53,0.4,1,67,"Performance Management} , {HR Analytics and Reporting} , {Training and Development} , {HR Compliance and Legal Knowledge",65000
Anjuli Sharma,Team Lead,82,Project Management,Entry Level/Junior,0.8,0.9,5,81,"Project Monitoring and Control} , {Quality Management} , {Resource Allocation and Management} , {Risk Management} , {Contract and Procurement Management} , {Stakeholder Management} , {Continuous Improvement and Learning} , {Stakeholder Engagement",79000
Arasu Pandey,Training and Development Manager,87,Human Resources (HR),Associate/Specialist,0.1,1.4,1,50,"Problem Solving and Decision Making} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {Leadership and Team Management} , {Performance Management} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration",78000
Joyeeta Mehra Bhatia,Sales Representative,79,Sales and Marketing,Senior/Lead,0.86,5.7,31,64,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Social Media Marketing} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Adaptability and Flexibility",110000
Amruta Mehta,Quality Control Analyst,80,Quality Assurance (QA),Associate/Specialist,0.94,2.8,12,54,"Critical Thinking} , {Test Planning and Execution} , {Regulatory Compliance} , {Analytical and Problem-Solving Skills} , {Quality Management Systems (QMS)} , {Documentation and Standardization} , {Test Automation} , {Statistical Process Control (SPC)} , {Validation and Verification} , {Continuous Learning and Quality Mindset",165000
Mihir Agarwal,Tax Specialist,85,Finance and Accounting,Associate/Specialist,0.62,1.2,0,52,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Problem Solving and Decision Making} , {Risk Management and Analysis} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Attention to Detail} , {Teamwork and Collaboration} , {Financial Statement Preparation",79000
Jai Goswami,Logistics Coordinator,80,Operations,Entry Level/Junior,0.98,0.8,3,43,"Supply Chain Management} , {Process Optimization and Efficiency} , {Quality Control and Assurance} , {Inventory Management} , {Leadership and Team Management} , {Production Planning and Control} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",72000
Tanaia Acharya,Quality Control Analyst,76,Quality Assurance (QA),Senior/Lead,0.97,5.6,37,61,"Root Cause Analysis} , {Communication and Collaboration} , {Test Planning and Execution} , {Regulatory Compliance} , {Attention to Detail} , {Analytical and Problem-Solving Skills} , {Quality Management Systems (QMS)} , {Teamwork and Interpersonal Skills} , {Test Automation} , {Documentation and Standardization} , {Statistical Process Control (SPC)} , {Adaptability and Flexibility} , {Validation and Verification} , {Process Improvement",192000
Lalam Modi,Warehouse Manager,95,Operations,Associate/Specialist,0.37,1.1,9,89,"Quality Control and Assurance} , {Logistics and Transportation} , {Analytical Thinking} , {Continuous Improvement Mindset} , {Negotiation and Conflict Resolution} , {Production Planning and Control} , {Time Management and Prioritization} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",160000
Arpana Joshi,Regulatory Affairs Specialist,89,Legal and Compliance,Senior/Lead,0.59,7.0,11,95,"Legal Research and Analysis} , {Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Time Management and Organization} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Ethical Conduct and Professionalism} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Continuous Learning and Staying Updated with Legal Developments} , {Adaptability and Flexibility} , {Data Privacy and Protection} , {Corporate Governance",100000
Deval Banerjee Sen,Project Coordinator,97,Project Management,Senior/Lead,0.4,7.1,49,48,"Resource Allocation and Management} , {Project Planning and Scheduling} , {Budgeting and Financial Management} , {Communication and Negotiation Skills} , {Reporting and Documentation} , {Leadership and Team Management} , {Continuous Improvement and Learning} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",112000
Ahalya Bhasin,Corporate Counsel,79,Legal and Compliance,Senior/Lead,0.29,9.0,6,87,"Legal Research and Analysis} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Attention to Detail} , {Risk Assessment and Management} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Adaptability and Flexibility} , {Corporate Governance",106000
Janesh Sharma Kapoor,Innovation Manager,99,Research and Development (R&D),Associate/Specialist,0.18,4.0,15,35,"Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Collaboration and Teamwork} , {Adaptability and Flexibility} , {Critical Thinking and Problem Solving} , {Research Methodology and Design} , {Project Management} , {Analytical Skills",86000
Nameen Haldar,Network Administrator,84,Information Technology (IT),Senior/Lead,0.75,8.6,18,72,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Programming and Software Development} , {System Administration} , {Customer Service and Relationship Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Governance and Compliance} , {Cloud Computing} , {Continuous Learning and Professional Development} , {IT Project Management} , {Adaptability and Flexibility",129000
Aatmik Acharya,Marketing Manager,78,Sales and Marketing,Associate/Specialist,0.54,1.3,7,49,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Creativity and Innovation} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",156000
Tippoo Kapadia,IT Manager,96,Information Technology (IT),Entry Level/Junior,0.62,0.4,1,56,"Network and Infrastructure Management} , {IT Project Management} , {IT Troubleshooting and Support} , {Problem Solving and Critical Thinking",70000
Jasmeet Deshmukh Pawar,Product Development Manager,79,Research and Development (R&D),Associate/Specialist,0.32,1.1,15,36,"Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Time Management and Prioritization} , {Analytical Skills",77000
Mahavira Chatterjee Ghosh,Warehouse Manager,78,Operations,Mid-Level/Intermediate,0.61,5.0,9,90,"Supply Chain Management} , {Customer Focus} , {Quality Control and Assurance} , {Problem Solving and Decision Making} , {Risk Management} , {Production Planning and Control} , {Communication and Collaboration} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",179000
Amoli Kapoor,Quality Control Analyst,78,Quality Assurance (QA),Mid-Level/Intermediate,0.38,4.0,13,88,"Root Cause Analysis} , {Test Planning and Execution} , {Regulatory Compliance} , {Attention to Detail} , {Teamwork and Interpersonal Skills} , {Test Automation} , {Documentation and Standardization} , {Leadership and Mentoring} , {Risk Assessment and Mitigation} , {Statistical Process Control (SPC)} , {Process Improvement",178000
Devaki Chowdhury,IT Support Specialist,76,Information Technology (IT),Mid-Level/Intermediate,0.36,5.9,12,52,"IT Service Management} , {Time Management and Organization} , {Database Management} , {Leadership and Team Management} , {Cloud Computing} , {IT Project Management} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",100000
Anupriyaa Dewan,Regulatory Affairs Specialist,92,Legal and Compliance,Mid-Level/Intermediate,0.94,3.1,3,45,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Legal Research and Analysis} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Risk Assessment and Management} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Data Privacy and Protection} , {Corporate Governance",69000
Shila Basu,Sales Representative,99,Sales and Marketing,Associate/Specialist,0.06,2.5,6,66,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Social Media Marketing} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Sales Funnel Management} , {Time Management and Prioritization} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",83000
Anand Kohli,Systems Analyst,77,Information Technology (IT),Entry Level/Junior,0.47,0.2,4,64,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Programming and Software Development} , {Customer Service and Relationship Management} , {IT Troubleshooting and Support} , {Cloud Computing} , {IT Project Management",74000
Chandani Saxena,Tax Specialist,94,Finance and Accounting,Senior/Lead,0.91,8.4,4,97,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Continuous Learning and Keeping up with Regulatory Changes",129000
Chirayu Iyer,Compensation and Benefits Specialist,92,Human Resources (HR),Entry Level/Junior,0.96,0.6,2,58,"Training and Development} , {Employee Relations and Conflict Resolution} , {HR Analytics and Reporting} , {Performance Management} , {Conflict Resolution and Mediation} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",70000
Januja Goswami,Treasury Analyst,85,Finance and Accounting,Mid-Level/Intermediate,0.45,4.9,1,53,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Attention to Detail} , {Cash Flow Management} , {Teamwork and Collaboration} , {Financial Modeling} , {Financial Analysis and Reporting} , {Financial Statement Preparation",96000
Jenisha Reddy Rao,Public Relations Specialist,83,Sales and Marketing,Associate/Specialist,0.55,3.2,7,38,"Sales Forecasting and Planning} , {Creativity and Innovation} , {Sales Analytics and Reporting} , {Sales Funnel Management} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Time Management and Prioritization} , {Adaptability and Flexibility",80000
Darsh Deshmukh,Training and Development Manager,81,Human Resources (HR),Entry Level/Junior,0.28,0.3,3,65,"Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {HR Compliance and Legal Knowledge} , {HR Analytics and Reporting} , {HRIS (Human Resources Information System) Management",67000
Amulya Ranganathan,Digital Marketer,85,Sales and Marketing,Senior/Lead,0.04,7.1,23,43,"Relationship Building and Networking} , {Market Research and Analysis} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",110000
Dhanadaa Deshpande,Quality Control Analyst,78,Quality Assurance (QA),Senior/Lead,0.58,7.0,48,47,"Root Cause Analysis} , {Critical Thinking} , {Communication and Collaboration} , {Time Management and Organization} , {Test Planning and Execution} , {Regulatory Compliance} , {Quality Management Systems (QMS)} , {Continuous Learning and Quality Mindset} , {Validation and Verification} , {Process Improvement",191000
Amar Deol,Auditor,80,Finance and Accounting,Senior/Lead,0.3,9.0,4,77,"Communication and Presentation Skills} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Financial Modeling} , {Financial Analysis and Reporting} , {Financial Statement Preparation",128000
Soma Seth,Financial Controller,87,Finance and Accounting,Mid-Level/Intermediate,0.25,5.0,1,80,"Time Management and Organization} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Financial Modeling} , {Attention to Detail} , {Teamwork and Collaboration} , {Problem Solving and Decision Making",101000
Charvaka Chandra,Scrum Master,80,Project Management,Associate/Specialist,0.08,2.4,15,59,"Project Monitoring and Control} , {Quality Management} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Risk Management} , {Stakeholder Management} , {Communication and Negotiation Skills} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Change Management} , {Stakeholder Engagement",85000
Reva Joshi Sharma,Project Coordinator,82,Project Management,Entry Level/Junior,0.57,0.3,7,45,"Project Monitoring and Control} , {Change Management} , {Contract and Procurement Management",65000
Anusheela Modi,Digital Marketer,75,Sales and Marketing,Entry Level/Junior,0.71,0.8,3,31,"Relationship Building and Networking} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions",65000
Aakesh Gill,Scrum Master,84,Project Management,Entry Level/Junior,0.8,0.1,6,61,"Project Monitoring and Control} , {Project Planning and Scheduling} , {Contract and Procurement Management} , {Stakeholder Management} , {Reporting and Documentation} , {Problem Solving and Decision Making",72000
Chandani Iyer Menon,Research Scientist,76,Research and Development (R&D),Senior/Lead,0.82,6.0,39,49,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Collaboration and Teamwork} , {Adaptability and Flexibility} , {Creativity and Innovation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Experimental Design and Prototyping} , {Intellectual Property Management",113000
Udayan Iyer Srinivasan,Warehouse Manager,75,Operations,Entry Level/Junior,0.64,0.3,4,92,"Supply Chain Management} , {Quality Control and Assurance} , {Logistics and Transportation} , {Production Planning and Control} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",151000
Tanika Saxena,Logistics Coordinator,54,Operations,Senior/Lead,0.83,7.7,19,40,"Supply Chain Management} , {Process Optimization and Efficiency} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Quality Control and Assurance} , {Customer Focus} , {Strategic Thinking} , {Risk Management} , {Inventory Management} , {Communication and Collaboration} , {Time Management and Prioritization} , {Adaptability and Flexibility} , {Production Planning and Control} , {Negotiation and Conflict Resolution",116000
Kavita Sharma Gupta,Team Lead,72,Project Management,Associate/Specialist,0.57,2.1,8,46,"Quality Management} , {Resource Allocation and Management} , {Stakeholder Engagement} , {Problem Solving and Decision Making} , {Project Planning and Scheduling} , {Contract and Procurement Management} , {Stakeholder Management} , {Reporting and Documentation} , {Leadership and Team Management} , {Adaptability and Flexibility} , {Change Management} , {Presentation and Public Speaking",84000
Devmani Kulkarni,Customer Service Representative,75,Customer Support,Associate/Specialist,0.67,1.9,2,76,"Ticketing Systems and CRM Software} , {Product Knowledge} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Positive Attitude and Professionalism} , {Problem Solving and Critical Thinking} , {Customer Data Management} , {Multi-Channel Support (Phone, Chat, Email)} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",61000
Chaitanya Mallick,Financial Analyst,88,Finance and Accounting,Mid-Level/Intermediate,0.6,3.6,2,61,"ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Financial Modeling} , {Teamwork and Collaboration} , {Financial Statement Preparation",95000
Amul Gupta,Marketing Manager,75,Sales and Marketing,Associate/Specialist,0.4,1.5,4,79,"Relationship Building and Networking} , {Social Media Marketing} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Customer Relationship Management (CRM)} , {Problem Solving and Decision Making",162000
Shante Deshpande,HR Manager,74,Human Resources (HR),Mid-Level/Intermediate,0.56,4.4,5,62,"Problem Solving and Decision Making} , {Time Management and Organization} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Performance Management} , {Empathy and Emotional Intelligence} , {Adaptability and Flexibility} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",239000
Bhamini Basu,Financial Analyst,80,Finance and Accounting,Senior/Lead,0.66,5.8,3,39,"Time Management and Organization} , {Analytical and Critical Thinking} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Modeling} , {Teamwork and Collaboration} , {Attention to Detail} , {Financial Analysis and Reporting} , {Ethical Conduct and Professionalism} , {Financial Statement Preparation",108000
Aharnish Ahluwalia,Warehouse Manager,81,Operations,Associate/Specialist,0.08,2.0,5,53,"Supply Chain Management} , {Customer Focus} , {Quality Control and Assurance} , {Logistics and Transportation} , {Data Analysis and Reporting} , {Analytical Thinking} , {Risk Management} , {Negotiation and Conflict Resolution} , {Lean Six Sigma} , {Cost Analysis and Budgeting",157000
Jamaica Bhasin,Production Supervisor,71,Operations,Mid-Level/Intermediate,0.71,5.8,10,33,"Supply Chain Management} , {Process Optimization and Efficiency} , {Data Analysis and Reporting} , {Customer Focus} , {Problem Solving and Decision Making} , {Analytical Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Production Planning and Control} , {Communication and Collaboration} , {Adaptability and Flexibility",174000
Ishara Khan Siddiqui,Help Desk Analyst,79,Customer Support,Mid-Level/Intermediate,0.15,3.0,6,96,"Ticketing Systems and CRM Software} , {Product Knowledge} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving",71000
Neena Iyer Srinivasan,Recruitment Specialist,75,Human Resources (HR),Senior/Lead,0.76,8.1,14,73,"Time Management and Organization} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Employee Engagement and Retention} , {HR Analytics and Reporting} , {Communication and Interpersonal Skills} , {HR Compliance and Legal Knowledge} , {Performance Management} , {Leadership and Team Management} , {Problem Solving and Decision Making} , {Conflict Resolution and Mediation} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",123000
Joyeeta Banerjee Dasgupta,IT Manager,82,Information Technology (IT),Entry Level/Junior,0.01,0.5,0,85,"Database Management} , {Network and Infrastructure Management} , {IT Governance and Compliance} , {Cloud Computing} , {Cybersecurity and Data Protection",73000
Balabhadra Sachdev,Logistics Coordinator,94,Operations,Mid-Level/Intermediate,0.21,4.3,9,49,"Process Optimization and Efficiency} , {Customer Focus} , {Quality Control and Assurance} , {Logistics and Transportation} , {Analytical Thinking} , {Risk Management} , {Negotiation and Conflict Resolution} , {Leadership and Team Management} , {Inventory Management} , {Lean Six Sigma} , {Production Planning and Control} , {Cost Analysis and Budgeting",92000
Charudatta Batra,Scrum Master,63,Project Management,Mid-Level/Intermediate,0.93,4.2,15,85,"Quality Management} , {Project Monitoring and Control} , {Project Planning and Scheduling} , {Contract and Procurement Management} , {Leadership and Team Management} , {Continuous Improvement and Learning} , {Adaptability and Flexibility} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",101000
Ishana Chakrabarti,Research Scientist,93,Research and Development (R&D),Associate/Specialist,0.32,1.9,12,73,"Programming and Software Development} , {Adaptability and Flexibility} , {Technical Writing and Documentation} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Leadership and Mentoring} , {Creativity and Innovation} , {Networking and Relationship Building} , {Statistical Analysis and Modeling} , {Project Management} , {Analytical Skills} , {Intellectual Property Management",90000
Lahar Reddy Naidu,Training and Development Manager,96,Human Resources (HR),Mid-Level/Intermediate,0.89,4.5,5,64,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {HR Compliance and Legal Knowledge} , {Performance Management} , {Conflict Resolution and Mediation} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",98000
Rachanna Gokhale,Network Administrator,83,Information Technology (IT),Mid-Level/Intermediate,0.25,3.1,12,77,"IT Service Management} , {Programming and Software Development} , {System Administration} , {Customer Service and Relationship Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Cloud Computing} , {Continuous Learning and Professional Development} , {IT Project Management} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",100000
Satish Apte,Help Desk Analyst,88,Customer Support,Mid-Level/Intermediate,0.64,5.9,5,67,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Time Management and Organization} , {Patience and Resilience} , {Empathy and Customer Focus} , {Positive Attitude and Professionalism} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Communication and Active Listening} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",81000
Dayanand Dhawan,Network Administrator,82,Information Technology (IT),Entry Level/Junior,0.19,0.8,0,42,"IT Risk Assessment and Mitigation} , {Programming and Software Development} , {Database Management} , {Continuous Learning and Professional Development} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection",70000
Dharma Kaur,Account Manager,96,Sales and Marketing,Associate/Specialist,0.94,3.4,9,75,"Creativity and Innovation} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Time Management and Prioritization} , {Problem Solving and Decision Making",166000
Shantai Kumar,Compensation and Benefits Specialist,78,Human Resources (HR),Mid-Level/Intermediate,0.6,3.1,6,78,"Training and Development} , {Recruitment and Selection} , {Adaptability and Flexibility} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {HR Analytics and Reporting} , {Performance Management} , {Problem Solving and Decision Making} , {HRIS (Human Resources Information System) Management",93000
Charumati Mehta,Customer Service Representative,85,Customer Support,Mid-Level/Intermediate,0.48,5.6,4,72,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Empathy and Customer Focus} , {Problem Solving and Critical Thinking} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Conflict Resolution and Diplomacy} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Communication Tools (e.g., Live Chat, Email)",77000
Ashish Kumar Singh,Compensation and Benefits Specialist,81,Human Resources (HR),Mid-Level/Intermediate,0.54,3.9,7,40,"Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Adaptability and Flexibility} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {HR Compliance and Legal Knowledge} , {Communication and Interpersonal Skills} , {HR Analytics and Reporting} , {Leadership and Team Management} , {Problem Solving and Decision Making} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",91000
Kimaya Patel,Logistics Coordinator,94,Operations,Entry Level/Junior,0.27,1.0,3,47,"Process Optimization and Efficiency} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Inventory Management} , {Lean Six Sigma} , {Cost Analysis and Budgeting",68000
Dharma Babu,Software Engineer,82,Information Technology (IT),Senior/Lead,0.96,8.8,18,74,"IT Service Management} , {Time Management and Organization} , {Programming and Software Development} , {Customer Service and Relationship Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {IT Project Management} , {Adaptability and Flexibility} , {Analytical and Data Interpretation Skills",130000
Ananta Ahluwalia,Customer Support Specialist,60,Customer Support,Associate/Specialist,0.81,3.6,2,74,"Time Management and Organization} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Teamwork and Collaboration} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Communication and Active Listening} , {Communication Tools (e.g., Live Chat, Email)",64000
Shaylah Purohit,Cybersecurity Analyst,89,Information Technology (IT),Associate/Specialist,0.58,2.2,9,73,"IT Risk Assessment and Mitigation} , {Time Management and Organization} , {Programming and Software Development} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {Cloud Computing} , {Communication and Collaboration} , {Continuous Learning and Professional Development} , {Analytical and Data Interpretation Skills",89000
Devi Iyer Srinivasan,Financial Controller,93,Finance and Accounting,Senior/Lead,0.41,7.2,2,39,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Auditing and Internal Controls} , {Cash Flow Management} , {Teamwork and Collaboration} , {Attention to Detail} , {Financial Modeling} , {Business Acumen and Strategic Thinking} , {Adaptability and Flexibility",111000
Ishara Haldar,Production Supervisor,79,Operations,Associate/Specialist,0.62,1.3,5,90,"Process Optimization and Efficiency} , {Customer Focus} , {Data Analysis and Reporting} , {Quality Control and Assurance} , {Logistics and Transportation} , {Strategic Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Inventory Management} , {Adaptability and Flexibility",162000
Bhanu Ray,Compliance Officer,92,Legal and Compliance,Entry Level/Junior,0.82,0.3,2,45,"Contract Drafting and Review} , {Mergers and Acquisitions} , {Regulatory Compliance",43000
Shalena Dhar,Scrum Master,80,Project Management,Entry Level/Junior,0.3,0.3,7,93,"Stakeholder Management} , {Risk Management} , {Change Management",69000
Alka Iyer,Digital Marketer,76,Sales and Marketing,Mid-Level/Intermediate,0.75,3.6,14,50,"Sales Forecasting and Planning} , {Social Media Marketing} , {Market Research and Analysis} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Leadership and Mentoring} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",92000
Baldev Madan,IT Support Specialist,99,Information Technology (IT),Mid-Level/Intermediate,0.95,4.1,7,63,"IT Service Management} , {IT Risk Assessment and Mitigation} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Network and Infrastructure Management} , {Leadership and Team Management} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {IT Governance and Compliance} , {Analytical and Data Interpretation Skills",101000
Tarana Mallick,Public Relations Specialist,90,Sales and Marketing,Associate/Specialist,0.19,1.1,4,87,"Social Media Marketing} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Time Management and Prioritization} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Creativity and Innovation} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",82000
Nila Chopra,HR Manager,75,Human Resources (HR),Associate/Specialist,0.67,3.9,4,68,"Time Management and Organization} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Employee Engagement and Retention} , {Communication and Interpersonal Skills} , {Empathy and Emotional Intelligence} , {Adaptability and Flexibility} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",230000
